,Algo,Run_Type,Accuracy,f1_0,f1_1
0,dt,Normal-no_smote,0.801,0.783,0.816
1,knn,Normal-no_smote,0.721,0.678,0.754
2,boost,Normal-no_smote,0.859,0.845,0.87
3,nn,Normal-no_smote,0.848,0.836,0.858
4,svm,Normal-no_smote,0.707,0.661,0.741
5,dt,Normal-smote,0.822,0.806,0.836
6,knn,Normal-smote,0.699,0.672,0.722
7,boost,Normal-smote,0.866,0.851,0.878
8,nn,Normal-smote,0.855,0.847,0.862
9,svm,Normal-smote,0.692,0.679,0.704
10,dt,Kfold-no_smote,0.851,0.84,0.861
11,knn,Kfold-no_smote,0.736,0.707,0.759
12,boost,Kfold-no_smote,0.888,0.874,0.898
13,nn,Kfold-no_smote,0.866,0.853,0.877
14,svm,Kfold-no_smote,0.888,0.874,0.898
15,dt,Kfold-smote,0.837,0.826,0.846
16,knn,Kfold-smote,0.703,0.672,0.728
17,boost,Kfold-smote,0.902,0.893,0.91
18,nn,Kfold-smote,0.844,0.819,0.863
19,svm,Kfold-smote,0.884,0.871,0.895
20,dt,Stratify-no_smote,0.851,0.84,0.861
21,knn,Stratify-no_smote,0.725,0.694,0.75
22,boost,Stratify-no_smote,0.877,0.862,0.889
23,nn,Stratify-no_smote,0.866,0.853,0.877
24,svm,Stratify-no_smote,0.888,0.874,0.898
25,dt,Stratify-smote,0.83,0.814,0.843
26,knn,Stratify-smote,0.721,0.688,0.748
27,boost,Stratify-smote,0.891,0.88,0.901
28,nn,Stratify-smote,0.844,0.819,0.863
29,svm,Stratify-smote,0.884,0.871,0.895
