,Algo,Run_Type,Accuracy,f1_0,f1_1
0,dt,Normal-no_smote,0.854,0.914,0.514
1,knn,Normal-no_smote,0.867,0.924,0.439
2,boost,Normal-no_smote,0.862,0.922,0.431
3,nn,Normal-no_smote,0.873,0.929,0.384
4,svm,Normal-no_smote,0.856,0.923,0.0
5,dt,Normal-smote,0.86,0.917,0.573
6,knn,Normal-smote,0.769,0.851,0.488
7,boost,Normal-smote,0.785,0.862,0.516
8,nn,Normal-smote,0.727,0.815,0.482
9,svm,Normal-smote,0.729,0.816,0.484
10,dt,Kfold-no_smote,0.877,0.929,0.543
11,knn,Kfold-no_smote,0.854,0.915,0.493
12,boost,Kfold-no_smote,0.869,0.925,0.471
13,nn,Kfold-no_smote,0.875,0.931,0.302
14,svm,Kfold-no_smote,0.856,0.923,0.0
15,dt,Kfold-smote,0.856,0.914,0.571
16,knn,Kfold-smote,0.846,0.908,0.538
17,boost,Kfold-smote,0.808,0.881,0.511
18,nn,Kfold-smote,0.746,0.83,0.5
19,svm,Kfold-smote,0.756,0.839,0.502
20,dt,Stratify-no_smote,0.85,0.915,0.379
21,knn,Stratify-no_smote,0.86,0.922,0.362
22,boost,Stratify-no_smote,0.877,0.933,0.289
23,nn,Stratify-no_smote,0.869,0.926,0.432
24,svm,Stratify-no_smote,0.856,0.923,0.0
25,dt,Stratify-smote,0.844,0.906,0.534
26,knn,Stratify-smote,0.846,0.908,0.538
27,boost,Stratify-smote,0.808,0.881,0.511
28,nn,Stratify-smote,0.794,0.867,0.535
29,svm,Stratify-smote,0.756,0.839,0.502
